wavelength_nm,R_mean,G_mean,B_mean
400,64.7580,64.3644,64.4644
420,65.3352,64.3980,64.4684
440,66.2700,64.4772,64.4548
460,67.1552,64.8124,64.4676
480,67.7912,68.3044,64.7412
500,67.2752,70.7834,64.9688
520,66.3632,73.5404,65.7912
540,65.8604,74.5214,65.9208
560,65.5476,74.6064,66.1252
580,65.5688,73.7674,72.5456
600,65.4100,71.0006,79.8288
620,65.1824,68.5284,79.1392
640,65.4276,67.7620,79.2732
660,65.8932,67.6812,78.4300
680,66.3692,68.6554,76.6964
700,66.7960,70.1604,75.8872
720,66.8656,70.8378,76.4520
740,66.7692,70.6828,76.1248
760,67.3076,71.5500,76.0312
780,68.6832,72.0238,75.8344
800,73.9824,73.4310,76.0236
810,73.5548,71.8398,73.5400
820,70.8916,69.5082,70.5448
830,70.1624,68.7672,69.2560
840,70.2884,68.7244,69.3824
850,70.2820,68.8954,69.4936
860,71.0580,70.0416,70.2940
870,71.6120,70.4382,70.9292
880,71.3940,70.2774,70.8700
890,71.5292,70.5522,70.8752
900,72.0888,71.0354,71.4160
920,71.9228,70.5546,71.2212
