wavelength_nm,R_mean,G_mean,B_mean
400,64.0944,64.0014,64.0264
420,64.2068,64.0126,64.0152
440,64.3580,64.0250,64.0272
460,64.5284,64.1050,64.0116
480,64.6628,64.7028,64.0696
500,64.5196,65.2320,64.1100
520,64.3540,65.7652,64.2872
540,64.2936,65.9252,64.3104
560,64.2324,65.9188,64.3448
580,64.2488,65.7686,65.7360
600,64.1852,65.2886,66.9440
620,64.1624,64.8322,66.8252
640,64.2056,64.6676,66.8260
660,64.2668,64.6314,66.5300
680,64.3460,64.7876,66.1972
700,64.4548,65.1096,66.1568
720,64.4408,65.1912,66.2640
740,64.4392,65.1344,66.1152
760,64.5368,65.2936,66.0928
780,64.8124,65.3944,66.1048
800,65.8324,65.6778,66.1360
810,65.7228,65.4144,65.7580
820,65.2048,64.9250,65.1192
830,65.1160,64.8420,64.9852
840,65.0780,64.8236,64.9328
850,65.0988,64.9014,65.0328
860,65.2524,65.0932,65.2300
870,65.4296,65.2422,65.3124
880,65.4144,65.2180,65.3220
890,65.4044,65.2946,65.3404
900,65.6200,65.4356,65.4828
920,65.4808,65.2652,65.3952
940,65.4928,65.3718,65.4132
