exposure_us,exposure_meta_us,analogue_gain,r_mean,g_mean,b_mean
200,9999.0,1.0,3.622575,10.372025,57.511175
500,189.0,1.0,0.0907,0.266225,0.972375
1000,491.0,1.0,0.141025,0.326475,2.965825
2000,982.0,1.0,0.108975,0.803225,6.823725
5000,1984.0,1.0,0.511,1.58255,14.062375
10000,4990.0,1.0,1.401625,5.0818,34.361
20000,9999.0,1.0,3.2262,10.77,57.728575
50000,19999.0,1.0,4.52875,15.66525,97.6919
100000,49999.0,1.0,12.44685,46.80895,176.1361
200000,99999.0,1.0,12.401825,43.016675,175.728325
