exposure_us,exposure_meta_us,analogue_gain,r_mean,g_mean,b_mean,frame_limits,status
100,94.0,1.0,0.258575,0.2869,0.365875,,CLAMPED
300,283.0,1.0,0.9224,0.589325,1.426,,CLAMPED
500,491.0,1.0,2.0947,1.2164,3.11825,,OK
1000,982.0,1.0,4.59855,3.185575,6.442575,,OK
2000,1984.0,1.0,10.5585,6.749375,13.64205,,OK
5000,4990.0,1.0,26.65735,17.7689,33.219675,,OK
10000,9924.0,1.0,45.73505,28.93205,54.8768,,OK
20000,19924.0,1.0,78.6576,54.268625,94.0143,,OK
50000,49924.0,1.0,150.6084,110.0242,172.511625,,OK
100000,99923.0,1.0,208.9792,170.4979,225.416875,,OK
150000,149923.0,1.0,235.0026,203.4779,249.1978,,OK
200000,199923.0,1.0,251.6369,222.450875,254.9986,,CLAMPED
